Date,Open,High,Low,Close,Adj Close,Volume
1994-07-26,45.390625,45.421875,45.3125,45.359375,26.615150451660156,489600
1994-07-27,45.359375,45.359375,45.171875,45.359375,26.615150451660156,83200
1994-07-28,45.359375,45.578125,45.359375,45.453125,26.67015266418457,828200
1994-07-29,45.765625,46.046875,45.75,45.90625,26.936019897460938,459100
1994-08-01,45.9375,46.15625,45.890625,46.125,27.064373016357422,486300
1994-08-02,46.28125,46.375,46.03125,46.1875,27.1010684967041,505500
1994-08-03,46.171875,46.234375,46.09375,46.203125,27.110212326049805,144100
1994-08-04,46.171875,46.21875,45.921875,45.9375,26.954368591308594,231700
1994-08-05,45.703125,45.84375,45.65625,45.78125,26.86269187927246,138400
1994-08-08,45.828125,45.9375,45.78125,45.890625,26.926855087280273,328600
1994-08-09,45.71875,45.96875,45.71875,45.96875,26.972700119018555,105900
1994-08-10,46.0,46.1875,45.9375,46.140625,27.073572158813477,840300
1994-08-11,46.03125,46.234375,45.734375,45.96875,26.972700119018555,876200
1994-08-12,46.046875,46.34375,46.046875,46.328125,27.183574676513672,184100
1994-08-15,46.375,46.484375,46.3125,46.3125,27.174406051635742,325900
1994-08-16,46.34375,46.6875,46.15625,46.640625,27.366947174072266,1089500
1994-08-17,46.703125,46.734375,46.578125,46.609375,27.34859848022461,133700
1994-08-18,46.453125,46.5625,46.40625,46.453125,27.256914138793945,620000
1994-08-19,46.46875,46.515625,46.3125,46.421875,27.238582611083984,103200
1994-08-22,46.4375,46.4375,46.28125,46.375,27.211071014404297,79700
1994-08-23,46.578125,46.859375,46.515625,46.640625,27.366947174072266,268600
1994-08-24,46.6875,47.140625,46.671875,47.140625,27.660316467285156,254700
1994-08-25,47.09375,47.203125,46.890625,47.015625,27.586971282958984,147400
1994-08-26,47.125,47.78125,47.125,47.6875,27.9811954498291,339500
1994-08-29,47.8125,47.984375,47.640625,47.65625,27.962865829467773,350300
1994-08-30,47.640625,47.859375,47.578125,47.78125,28.036197662353516,36000
1994-08-31,47.703125,47.890625,47.59375,47.65625,27.962865829467773,356200
1994-09-01,47.5,47.53125,47.328125,47.5,27.871177673339844,294600
1994-09-02,47.71875,47.71875,47.21875,47.296875,27.751995086669922,99600
1994-09-06,47.265625,47.359375,47.125,47.3125,27.761178970336914,229800
1994-09-07,47.421875,47.421875,47.21875,47.265625,27.733673095703125,27900
1994-09-08,47.359375,47.5625,47.34375,47.5,27.871177673339844,284800
1994-09-09,47.03125,47.125,46.8125,47.0,27.57778549194336,488400
1994-09-12,47.0,47.0625,46.78125,46.859375,27.49529266357422,129400
1994-09-13,46.953125,47.125,46.859375,47.0,27.57778549194336,389200
1994-09-14,46.84375,47.109375,46.84375,47.046875,27.605289459228516,423500
1994-09-15,47.171875,47.640625,47.171875,47.640625,27.953704833984375,779800
1994-09-16,47.0,47.140625,46.84375,47.015625,27.754762649536133,571300
1994-09-19,47.125,47.328125,47.015625,47.0625,27.78243064880371,167300
1994-09-20,46.8125,46.859375,46.171875,46.171875,27.256662368774414,355600
1994-09-21,46.3125,46.3125,45.734375,46.171875,27.256662368774414,397500
1994-09-22,46.28125,46.28125,46.015625,46.0625,27.19210433959961,266400
1994-09-23,46.078125,46.171875,45.828125,45.90625,27.099857330322266,176600
1994-09-26,46.078125,46.171875,45.984375,46.140625,27.238216400146484,223000
1994-09-27,46.140625,46.265625,46.0,46.109375,27.219768524169922,479500
1994-09-28,46.359375,46.53125,46.328125,46.46875,27.431921005249023,324000
1994-09-29,46.46875,46.46875,46.09375,46.234375,27.29355812072754,195900
1994-09-30,46.21875,46.4375,46.171875,46.171875,27.256662368774414,5200
1994-10-03,46.203125,46.25,45.984375,46.0625,27.19210433959961,72600
1994-10-04,46.296875,46.296875,45.34375,45.375,26.78622817993164,84200
1994-10-05,45.296875,45.390625,45.0,45.390625,26.79546546936035,461900
1994-10-06,45.421875,45.453125,45.171875,45.25,26.712453842163086,345200
1994-10-07,45.25,45.578125,45.203125,45.453125,26.832355499267578,188700
1994-10-10,45.65625,46.015625,45.640625,45.9375,27.118305206298828,213600
1994-10-11,46.140625,46.75,46.140625,46.625,27.524168014526367,461400
1994-10-12,46.6875,46.75,46.578125,46.6875,27.56104278564453,162400
1994-10-13,47.21875,47.328125,46.796875,46.84375,27.65329933166504,1564500
1994-10-14,47.0,47.0625,46.6875,47.046875,27.773197174072266,72800
1994-10-17,47.0,47.0625,46.90625,46.953125,27.717853546142578,282300
1994-10-18,46.90625,46.90625,46.6875,46.84375,27.65329933166504,132100
1994-10-19,46.671875,47.234375,46.65625,47.0625,27.78243064880371,136700
1994-10-20,47.0625,47.0625,46.609375,46.75,27.597951889038086,290300
1994-10-21,46.625,46.6875,46.359375,46.5625,27.487253189086914,87800
1994-10-24,46.578125,46.765625,46.15625,46.171875,27.256662368774414,149600
1994-10-25,46.015625,46.3125,46.0,46.21875,27.28434181213379,91800
1994-10-26,46.390625,46.4375,46.171875,46.390625,27.385787963867188,201000
1994-10-27,46.5625,46.671875,46.453125,46.671875,27.551830291748047,210300
1994-10-28,46.765625,47.703125,46.765625,47.65625,28.132932662963867,192100
1994-10-31,47.546875,47.59375,47.46875,47.484375,28.031471252441406,36300
1994-11-01,47.28125,47.28125,46.9375,46.953125,27.717853546142578,435200
1994-11-02,46.8125,47.234375,46.6875,46.6875,27.56104278564453,115600
1994-11-03,46.84375,47.015625,46.78125,46.9375,27.708656311035156,87000
1994-11-04,47.15625,47.15625,46.328125,46.328125,27.348909378051758,124400
1994-11-07,46.4375,46.59375,46.3125,46.46875,27.431921005249023,115000
1994-11-08,46.625,46.984375,46.546875,46.828125,27.64408302307129,308300
1994-11-09,47.328125,47.328125,46.5,46.90625,27.690195083618164,318500
1994-11-10,46.9375,47.03125,46.546875,46.578125,27.496496200561523,172100
1994-11-11,46.515625,46.5625,46.28125,46.40625,27.395029067993164,302200
1994-11-14,46.609375,46.859375,46.609375,46.84375,27.65329933166504,181400
1994-11-15,46.796875,47.09375,46.328125,46.6875,27.56104278564453,316900
1994-11-16,46.765625,46.84375,46.609375,46.84375,27.65329933166504,106900
1994-11-17,46.875,46.875,46.34375,46.53125,27.46881866455078,104700
1994-11-18,46.546875,46.625,46.265625,46.46875,27.431921005249023,269300
1994-11-21,46.4375,46.578125,46.0,46.0,27.155210494995117,283100
1994-11-22,45.828125,46.0,45.0,45.0,26.564882278442383,483600
1994-11-23,45.03125,45.265625,44.609375,45.25,26.712453842163086,601600
1994-11-25,45.28125,45.53125,45.28125,45.46875,26.841596603393555,77300
1994-11-28,45.453125,45.6875,45.34375,45.671875,26.961490631103516,79900
1994-11-29,45.65625,45.75,45.5,45.65625,26.952274322509766,105500
1994-11-30,45.890625,45.953125,45.59375,45.59375,26.91537857055664,218800
1994-12-01,45.640625,45.640625,45.046875,45.140625,26.647886276245117,439000
1994-12-02,45.046875,45.5625,45.046875,45.5625,26.896936416625977,318500
1994-12-05,45.65625,45.8125,45.5,45.609375,26.92460823059082,139200
1994-12-06,45.4375,45.65625,45.359375,45.640625,26.943052291870117,249900
1994-12-07,45.359375,45.5,45.265625,45.3125,26.749332427978516,531900
1994-12-08,45.5,45.5625,44.75,44.875,26.491079330444336,261500
1994-12-09,44.875,45.078125,44.6875,45.046875,26.592557907104492,235900
1994-12-12,44.953125,45.34375,44.953125,45.34375,26.767803192138672,151100
1994-12-13,45.3125,45.53125,45.3125,45.515625,26.86925506591797,70900
1994-12-14,45.453125,45.953125,45.453125,45.75,27.007617950439453,203300
1994-12-15,45.8125,46.03125,45.8125,45.890625,27.09062957763672,130100
1994-12-16,45.671875,45.84375,45.625,45.75,27.222963333129883,266100
1994-12-19,45.75,45.84375,45.609375,45.8125,27.260133743286133,1120200
1994-12-20,45.859375,45.890625,45.671875,45.671875,27.176477432250977,675600
1994-12-21,45.703125,46.265625,45.703125,46.15625,27.464696884155273,544500
1994-12-22,46.15625,46.203125,45.96875,46.015625,27.381017684936523,222000
1994-12-23,45.984375,46.171875,45.984375,46.0625,27.408912658691406,125800
1994-12-27,46.21875,46.40625,46.1875,46.3125,27.55767059326172,95200
1994-12-28,46.359375,46.359375,45.96875,46.078125,27.418184280395508,358200
1994-12-29,46.25,46.25,46.0625,46.109375,27.436796188354492,220100
1994-12-30,46.203125,46.25,45.5625,45.5625,27.11138343811035,2209500
1995-01-03,45.703125,45.84375,45.6875,45.78125,27.24154281616211,324300
1995-01-04,45.984375,46.0,45.75,46.0,27.37171745300293,351800
1995-01-05,46.03125,46.109375,45.953125,46.0,27.37171745300293,89800
1995-01-06,46.09375,46.25,45.90625,46.046875,27.399599075317383,448400
1995-01-09,46.03125,46.09375,46.0,46.09375,27.4274959564209,36800
1995-01-10,46.203125,46.390625,46.140625,46.140625,27.455402374267578,229800
1995-01-11,46.296875,46.296875,45.8125,46.171875,27.473987579345703,222400
1995-01-12,46.125,46.21875,46.03125,46.1875,27.48328971862793,40300
1995-01-13,46.4375,46.734375,46.375,46.734375,27.80868911743164,170600
1995-01-16,46.71875,47.03125,46.71875,47.015625,27.976051330566406,105100
1995-01-17,46.921875,47.0625,46.859375,47.03125,27.985353469848633,89500
1995-01-18,47.0,47.078125,46.875,46.984375,27.95745086669922,84500
1995-01-19,46.828125,46.875,46.6875,46.71875,27.799400329589844,139100
1995-01-20,46.65625,46.671875,46.453125,46.546875,27.697134017944336,78700
1995-01-23,46.234375,46.6875,46.203125,46.6875,27.780797958374023,53700
1995-01-24,46.671875,46.75,46.640625,46.75,27.8179988861084,32400
1995-01-25,46.515625,47.046875,46.515625,46.875,27.892349243164062,15700
1995-01-26,46.84375,46.984375,46.75,46.921875,27.920265197753906,9800
1995-01-27,47.234375,47.234375,46.921875,47.109375,28.031822204589844,91200
1995-01-30,47.015625,47.046875,46.84375,46.90625,27.910974502563477,26600
1995-01-31,47.0,47.171875,46.921875,47.09375,28.022537231445312,127500
1995-02-01,47.15625,47.328125,47.0,47.078125,28.01323127746582,380200
1995-02-02,47.0625,47.359375,47.0625,47.359375,28.180599212646484,131700
1995-02-03,47.65625,48.109375,47.578125,48.03125,28.58038330078125,405100
1995-02-06,48.015625,48.375,47.96875,48.234375,28.701257705688477,405400
1995-02-07,48.3125,48.3125,48.140625,48.296875,28.738447189331055,702900
1995-02-08,48.234375,48.46875,48.203125,48.296875,28.738447189331055,521500
1995-02-09,48.21875,48.296875,48.125,48.296875,28.738447189331055,390700
1995-02-10,48.234375,48.359375,48.09375,48.359375,28.775630950927734,148300
1995-02-13,48.328125,48.46875,48.328125,48.375,28.784914016723633,79700
1995-02-14,48.53125,48.53125,48.25,48.4375,28.82210922241211,170200
1995-02-15,48.4375,48.765625,48.390625,48.703125,28.980178833007812,431500
1995-02-16,48.640625,48.6875,48.5,48.640625,28.942975997924805,99300
1995-02-17,48.59375,48.625,48.4375,48.453125,28.831417083740234,49100
1995-02-21,48.453125,48.53125,48.421875,48.4375,28.82210922241211,168000
1995-02-22,48.484375,48.796875,48.453125,48.796875,29.035947799682617,386400
1995-02-23,48.984375,49.15625,48.859375,48.875,29.082456588745117,402800
1995-02-24,48.9375,49.015625,48.8125,49.0,29.156822204589844,307600
1995-02-27,48.859375,49.0,48.53125,48.609375,28.924388885498047,280900
1995-02-28,48.5625,49.015625,48.5625,49.015625,29.166126251220703,493500
1995-03-01,48.96875,49.03125,48.65625,48.703125,28.980178833007812,242600
1995-03-02,48.6875,48.765625,48.546875,48.765625,29.01736068725586,488600
1995-03-03,48.609375,48.78125,48.484375,48.78125,29.026668548583984,290000
1995-03-06,48.453125,48.8125,48.390625,48.8125,29.04526138305664,85700
1995-03-07,48.640625,48.75,48.21875,48.4375,28.82210922241211,180900
1995-03-08,48.515625,48.625,48.34375,48.5625,28.896493911743164,155900
1995-03-09,48.546875,48.59375,48.421875,48.546875,28.887203216552734,63500
1995-03-10,48.59375,49.390625,48.53125,49.265625,29.314891815185547,192100
1995-03-13,49.234375,49.390625,49.171875,49.21875,29.2869815826416,261300
1995-03-14,49.359375,49.640625,49.359375,49.578125,29.50084114074707,223300
1995-03-15,49.5,49.578125,49.296875,49.484375,29.44503402709961,278500
1995-03-16,49.4375,49.8125,49.4375,49.78125,29.621692657470703,20400
1995-03-17,49.4375,49.625,49.40625,49.5625,29.65117645263672,89900
1995-03-20,49.625,49.625,49.46875,49.5625,29.65117645263672,91700
1995-03-21,49.5625,49.875,49.359375,49.4375,29.576391220092773,104400
1995-03-22,49.53125,49.53125,49.328125,49.484375,29.60441017150879,74900
1995-03-23,49.421875,49.65625,49.359375,49.515625,29.623126983642578,220500
1995-03-24,49.671875,50.21875,49.671875,50.21875,30.04377555847168,134000
1995-03-27,50.296875,50.421875,50.171875,50.421875,30.165300369262695,132100
1995-03-28,50.296875,50.421875,50.234375,50.421875,30.165300369262695,121900
1995-03-29,50.375,50.890625,50.125,50.40625,30.155942916870117,246100
1995-03-30,50.515625,50.515625,50.109375,50.3125,30.099849700927734,298400
1995-03-31,49.921875,50.171875,49.546875,50.109375,29.978351593017578,541300
1995-04-03,50.09375,50.234375,50.0625,50.234375,30.0531063079834,193300
1995-04-04,50.25,50.5625,50.25,50.5625,30.249433517456055,66900
1995-04-05,50.453125,50.609375,50.421875,50.5625,30.249433517456055,107200
1995-04-06,50.6875,50.796875,50.59375,50.75,30.361602783203125,352500
1995-04-07,50.859375,50.859375,50.46875,50.703125,30.333545684814453,361400
1995-04-10,50.625,50.796875,50.59375,50.796875,30.389636993408203,285400
1995-04-11,50.921875,50.9375,50.59375,50.625,30.28682518005371,250300
1995-04-12,50.703125,50.796875,50.609375,50.796875,30.389636993408203,150900
1995-04-13,50.890625,51.09375,50.859375,51.078125,30.557891845703125,243400
1995-04-17,51.265625,51.3125,50.625,50.78125,30.380279541015625,178900
1995-04-18,50.828125,50.828125,50.484375,50.609375,30.277462005615234,329500
1995-04-19,50.609375,50.71875,50.296875,50.5625,30.249433517456055,223000
1995-04-20,50.703125,50.78125,50.4375,50.640625,30.296159744262695,207900
1995-04-21,50.65625,50.90625,50.65625,50.890625,30.44571304321289,145000
1995-04-24,50.859375,51.484375,50.859375,51.484375,30.800931930541992,169000
1995-04-25,51.40625,51.484375,51.3125,51.34375,30.71680450439453,293200
1995-04-26,51.25,51.421875,51.125,51.390625,30.744853973388672,204400
1995-04-27,51.3125,51.546875,51.28125,51.515625,30.81963539123535,502200
1995-04-28,51.5,51.671875,51.171875,51.59375,30.86638641357422,130800
1995-05-01,51.546875,51.65625,51.453125,51.453125,30.782238006591797,518700
1995-05-02,51.5,51.640625,51.390625,51.5625,30.847684860229492,228400
1995-05-03,51.734375,52.28125,51.734375,52.28125,31.277679443359375,724700
1995-05-04,52.34375,52.6875,52.125,52.25,31.259000778198242,311400
1995-05-05,52.46875,52.46875,52.078125,52.1875,31.221580505371094,314900
1995-05-08,52.140625,52.734375,52.09375,52.5625,31.445941925048828,183100
1995-05-09,52.78125,52.84375,52.4375,52.515625,31.417892456054688,180600
1995-05-10,52.65625,52.671875,52.328125,52.578125,31.455270767211914,330300
1995-05-11,52.65625,52.71875,52.484375,52.71875,31.53941535949707,351700
1995-05-12,52.515625,52.875,52.5,52.75,31.558095932006836,94600
1995-05-15,52.890625,53.0,52.78125,53.0,31.707685470581055,147200
1995-05-16,52.984375,53.15625,52.890625,53.03125,31.726369857788086,221600
1995-05-17,53.03125,53.046875,52.78125,52.828125,31.6048641204834,189200
1995-05-18,52.734375,52.765625,52.0625,52.0625,31.14680290222168,577800
1995-05-19,51.984375,52.1875,51.90625,52.09375,31.165496826171875,363900
1995-05-22,52.265625,52.75,52.234375,52.671875,31.511371612548828,216000
1995-05-23,52.765625,53.15625,52.609375,53.15625,31.801156997680664,136800
1995-05-24,53.25,53.421875,52.796875,53.125,31.7824649810791,370800
1995-05-25,52.96875,53.21875,52.71875,53.171875,31.81049156188965,379900
1995-05-26,52.96875,52.984375,52.359375,52.5625,31.445941925048828,518600
1995-05-30,52.6875,52.828125,52.375,52.546875,31.43659019470215,61500
1995-05-31,52.453125,53.640625,52.453125,53.640625,32.090938568115234,564500
1995-06-01,53.40625,53.90625,53.25,53.5,32.006813049316406,810100
1995-06-02,53.28125,53.921875,53.09375,53.546875,32.03483581542969,112900
1995-06-05,53.546875,54.046875,53.5,53.875,32.231163024902344,257200
1995-06-06,53.828125,54.015625,53.78125,53.78125,32.175052642822266,165800
1995-06-07,53.671875,53.703125,53.4375,53.5,32.006813049316406,41900
1995-06-08,53.484375,53.640625,53.375,53.375,31.93204116821289,141100
1995-06-09,53.265625,53.328125,52.75,53.0625,31.745065689086914,304900
1995-06-12,53.234375,53.578125,53.203125,53.359375,31.922672271728516,378500
1995-06-13,53.609375,53.96875,53.5625,53.9375,32.26853561401367,120000
1995-06-14,53.859375,53.953125,53.6875,53.890625,32.24048614501953,389400
1995-06-15,53.96875,54.234375,53.875,54.125,32.38071060180664,274500
1995-06-16,53.703125,53.96875,53.703125,53.96875,32.47685241699219,325100
1995-06-19,54.125,54.609375,54.09375,54.578125,32.84355926513672,134600
1995-06-20,54.421875,54.609375,54.390625,54.4375,32.7589225769043,287800
1995-06-21,54.609375,54.65625,54.40625,54.40625,32.7401237487793,158200
1995-06-22,54.640625,55.15625,54.640625,55.125,33.17265319824219,297000
1995-06-23,55.0,55.03125,54.84375,55.015625,33.10681915283203,315400
1995-06-26,54.859375,54.953125,54.359375,54.359375,32.711910247802734,132900
1995-06-27,54.34375,54.703125,54.21875,54.25,32.64610290527344,127700
1995-06-28,54.25,54.75,54.078125,54.53125,32.81534957885742,212600
1995-06-29,54.53125,54.671875,54.0625,54.4375,32.7589225769043,89200
1995-06-30,54.546875,54.734375,54.296875,54.40625,32.7401237487793,714100
1995-07-03,54.46875,54.609375,54.46875,54.609375,32.86237335205078,9500
1995-07-05,54.765625,55.0625,54.640625,54.8125,32.98459243774414,409300
1995-07-06,54.828125,55.515625,54.71875,55.515625,33.40773010253906,202500
1995-07-07,55.40625,55.78125,55.375,55.765625,33.55812454223633,481700
1995-07-10,55.8125,55.953125,55.703125,55.796875,33.57695388793945,400400
1995-07-11,55.75,55.796875,55.453125,55.53125,33.417118072509766,420500
1995-07-12,55.640625,56.3125,55.53125,56.21875,33.8308219909668,203400
1995-07-13,56.140625,56.265625,56.03125,56.09375,33.75560760498047,215600
1995-07-14,55.796875,56.09375,55.75,56.046875,33.72739791870117,543700
1995-07-17,56.125,56.421875,56.078125,56.359375,33.91545486450195,171500
1995-07-18,56.265625,56.265625,55.828125,55.875,33.623966217041016,221200
1995-07-19,55.65625,55.71875,54.203125,55.265625,33.257259368896484,486600
1995-07-20,55.328125,55.578125,55.03125,55.46875,33.3795051574707,318900
1995-07-21,55.421875,55.625,55.1875,55.40625,33.34187698364258,94000
1995-07-24,55.484375,55.875,55.484375,55.8125,33.58635711669922,108400
1995-07-25,55.875,56.3125,55.703125,56.234375,33.84023666381836,107400
1995-07-26,56.203125,56.46875,56.171875,56.1875,33.81202697753906,167800
1995-07-27,56.453125,56.703125,56.453125,56.65625,34.09410095214844,187700
1995-07-28,56.703125,56.703125,56.25,56.296875,33.87787628173828,415600
1995-07-31,56.34375,56.390625,56.03125,56.15625,33.79323196411133,342500
1995-08-01,56.234375,56.234375,55.75,56.0625,33.73680114746094,141000
1995-08-02,56.390625,56.796875,55.84375,55.9375,33.66158676147461,240400
1995-08-03,55.546875,55.953125,55.453125,55.921875,33.652164459228516,1193600
1995-08-04,56.03125,56.078125,55.921875,55.984375,33.689788818359375,240500
1995-08-07,56.109375,56.28125,56.078125,56.109375,33.765010833740234,193100
